D1,D2,D3,D4
CFHTLS-VAR-J022413.27-042230.8,CFHTLS-VAR-J095832.75+021945.8,CFHTLS-VAR-J141624.18+530452.9,CFHTLS-VAR-J221330.84-172956.0
CFHTLS-VAR-J022419.31-044710.7,CFHTLS-VAR-J095833.59+020942.3,CFHTLS-VAR-J141628.66+530203.4,CFHTLS-VAR-J221334.65-174858.7
CFHTLS-VAR-J022429.98-040954.3,CFHTLS-VAR-J100156.83+022050.9,CFHTLS-VAR-J141639.68+524828.1,CFHTLS-VAR-J221338.03-175210.0
CFHTLS-VAR-J022501.25-040806.7,CFHTLS-VAR-J100158.83+021433.7,CFHTLS-VAR-J141646.83+525110.0,CFHTLS-VAR-J221358.31-173849.1
CFHTLS-VAR-J022505.57-044734.9,CFHTLS-VAR-J100201.15+020207.4,CFHTLS-VAR-J141701.06+522342.4,CFHTLS-VAR-J221358.45-172955.6
CFHTLS-VAR-J022524.66-040208.2,CFHTLS-VAR-J100201.60+021716.6,CFHTLS-VAR-J141805.35+525846.2,CFHTLS-VAR-J221360.00-181041.2
CFHTLS-VAR-J022609.71-040627.2,CFHTLS-VAR-J100202.78+022434.6,CFHTLS-VAR-J141841.40+521639.1,CFHTLS-VAR-J221405.84-173128.5
CFHTLS-VAR-J022618.19-042522.4,CFHTLS-VAR-J100203.27+022225.2,CFHTLS-VAR-J141852.01+523645.8,CFHTLS-VAR-J221415.81-173303.4
CFHTLS-VAR-J022621.68-044042.7,CFHTLS-VAR-J100210.65+022349.3,CFHTLS-VAR-J141915.99+530249.0,CFHTLS-VAR-J221417.12-175603.0
CFHTLS-VAR-J022633.71-044635.3,CFHTLS-VAR-J100210.65+022349.3,CFHTLS-VAR-J141918.95+521706.1,CFHTLS-VAR-J221423.84-174130.7
CFHTLS-VAR-J022644.15-043714.3,CFHTLS-VAR-J100215.85+014801.3,CFHTLS-VAR-J141925.10+530554.3,CFHTLS-VAR-J221430.64-180150.5
CFHTLS-VAR-J022644.15-043714.3,CFHTLS-VAR-J100216.30+020716.1,CFHTLS-VAR-J141932.30+522105.3,CFHTLS-VAR-J221510.38-175320.1
CFHTLS-VAR-J022657.26-044427.4,CFHTLS-VAR-J100216.57+022037.3,CFHTLS-VAR-J141937.69+524110.8,CFHTLS-VAR-J221514.80-173715.6
CFHTLS-VAR-J022700.77-041833.1,CFHTLS-VAR-J100220.02+020016.3,CFHTLS-VAR-J142000.25+530006.0,CFHTLS-VAR-J221519.54-173830.8
CFHTLS-VAR-J022708.74-041358.7,CFHTLS-VAR-J100222.57+022442.7,CFHTLS-VAR-J142035.01+530616.0,CFHTLS-VAR-J221520.17-173953.0
CFHTLS-VAR-J022710.84-044953.1,CFHTLS-VAR-J100208.74+015555.0,CFHTLS-VAR-J142108.23+522913.9,CFHTLS-VAR-J221524.86-180155.6
CFHTLS-VAR-J022720.89-040303.8,CFHTLS-VAR-J100209.36+014835.6,CFHTLS-VAR-J142121.09+524938.6,CFHTLS-VAR-J221533.50-173824.5
CFHTLS-VAR-J022729.43-044738.0,CFHTLS-VAR-J100213.48+020959.6,CFHTLS-VAR-J142124.44+530734.2,CFHTLS-VAR-J221538.08-171755.1
CFHTLS-VAR-J022730.07-043815.4,CFHTLS-VAR-J100215.53+015904.6,CFHTLS-VAR-J142139.95+521237.8,CFHTLS-VAR-J221541.97-180546.9
CFHTLS-VAR-J022751.85-045013.6,CFHTLS-VAR-J100222.02+022348.2,CFHTLS-VAR-J142210.61+523722.0,CFHTLS-VAR-J221638.39-180317.7
,CFHTLS-VAR-J100222.57+022442.7,CFHTLS-VAR-J142227.75+521052.8,CFHTLS-VAR-J221647.94-173938.0
,CFHTLS-VAR-J100224.48+014334.9,CFHTLS-VAR-J142236.51+521933.0,CFHTLS-VAR-J221727.03-175019.6
,CFHTLS-VAR-J100226.39+021733.7,,CFHTLS-VAR-J221732.50-174900.1
,CFHTLS-VAR-J100225.31+020014.7,,
